30;Nico Hischier;NJD;NJD;C;81;31;49;80;62;49;111;7250000;61;0;no
31;Kyle Connor;WPG;WPG;L;82;31;49;80;62;49;111;7142857;62;0;Alain
33;Dylan Larkin;DET;DET;C;80;32;47;79;64;47;111;8700000;63;0;no
36;Jamie Benn;DAL;DAL;L;82;33;45;78;66;45;111;9500000;64;0;no
43;Brock Nelson;NYI;NYI;C;82;36;39;75;72;39;111;6000000;65;0;no
126;Charlie Mcavoy;BOS;BOS;D;67;7;45;52;21;90;111;9500000;66;0;no
136;Justin Faulk;STL;STL;D;82;11;39;50;33;78;111;6500000;67;0;no
140;Noah Dobson;NYI;NYI;D;78;13;36;49;39;72;111;4000000;68;0;Math
25;Evgeni Malkin;PIT;PIT;C;82;27;56;83;54;56;110;6100000;69;0;no
50;Jordan Kyrou;STL;STL;C;79;37;36;73;74;36;110;8125000;70;0;Ben
60;Jared Mccann;SEA;SEA;L;79;40;30;70;80;30;110;5000000;71;0;no
61;Mark Scheifele;WPG;WPG;C;81;42;26;68;84;26;110;6125000;72;0;no
48;Jake Guentzel;PIT;PIT;L;78;36;37;73;72;37;109;6000000;73;0;Alain
141;Rasmus Andersson;CGY;CGY;D;79;11;38;49;33;76;109;4550000;74;0;Couv
59;Bo Horvat;NYI;VAN,NYI;C;79;38;32;70;76;32;108;8500000;75;0;no
69;Adrian Kempe;LAK;LAK;R;82;41;26;67;82;26;108;5500000;76;0;no
54;Tyler Toffoli;NJD;CGY;R;82;34;39;73;68;39;107;4250000;77;0;no
134;Devon Toews;COL;COL;D;80;7;43;50;21;86;107;4100000;78;0;Ben
138;Victor Hedman;TBL;TBL;D;76;9;40;49;27;80;107;7875000;79;0;Ben
9999;Ilya Samsonov;TOR;TOR;G;40;27;4;0;81;20;106;3550000;80;5;no
72;Timo Meier;NJD;SJS,NJD;R;78;40;26;66;80;26;106;8800000;81;0;Mark
146;Cam Fowler;ANA;ANA;D;82;10;38;48;30;76;106;6500000;82;0;no
9999;Ville Husso;DET;DET;G;56;26;4;0;78;20;105;4750000;83;7;no
37;Joe Pavelski;DAL;DAL;C;82;28;49;77;56;49;105;3500000;84;0;no
55;Jesper Bratt;NJD;NJD;L;82;32;41;73;64;41;105;7875000;85;0;Math
65;Sebastian Aho;CAR;CAR;C;75;36;31;67;72;31;103;8460250;86;0;no
46;Anze Kopitar;LAK;LAK;C;82;28;46;74;56;46;102;10000000;87;0;no
35;Aleksander Barkov;FLA;FLA;C;68;23;55;78;46;55;101;10000000;88;0;no
9999;Martin Jones;TOR;SEA;G;42;27;3;0;81;15;99;875000;89;3;no
58;Martin Necas;CAR;CAR;C;82;28;43;71;56;43;99;3000000;90;0;Math
