noNhlRank;Jake Guentzel;TBL;NA;L;67;30;47;77;60;47;107;9000000;noPoolRank;no;29;77;2013;6;30.44;3.47;2.04;3.83
noNhlRank;Alex Pietrangelo;VGK;NA;D;64;4;29;33;12;58;70;8800000;noPoolRank;no;34;4;2008;2;49.20;-1.20;0.16;0.98
noNhlRank;Timo Meier;NJD;NA;L;69;28;24;52;56;24;80;8800000;noPoolRank;no;27;9;2015;6;49.20;-3.30;0.91;1.82
noNhlRank;Sidney Crosby;PIT;NA;C;82;42;52;94;84;52;136;8700000;noPoolRank;no;37;1;2005;0;54.80;6.00;1.11;2.80
noNhlRank;Patrik Laine;MTL;NA;L;18;6;3;9;12;3;15;8700000;noPoolRank;no;26;2;2016;1;42.70;-2.60;0.88;1.17
noNhlRank;Dylan Larkin;DET;NA;C;68;33;36;69;66;36;102;8700000;noPoolRank;no;28;15;2014;6;50.20;4.80;0.88;1.95
noNhlRank;Sam Reinhart;FLA;NA;C;82;57;37;94;114;37;151;8625000;noPoolRank;no;28;2;2014;7;57.60;5.40;1.13;2.32
noNhlRank;Mika Zibanejad;NYR;NA;C;81;26;46;72;52;46;98;8500000;noPoolRank;no;31;6;2011;5;49.80;0.20;0.45;1.42
noNhlRank;Leon Draisaitl;EDM;NA;C;81;41;65;106;82;65;147;8500000;noPoolRank;no;28;3;2014;0;59.00;2.90;0.72;2.64
noNhlRank;Pierre-Luc Dubois;WAS;NA;C;82;16;24;40;32;24;56;8500000;noPoolRank;no;26;3;2016;6;53.70;-1.00;0.45;1.70
noNhlRank;Filip Forsberg;NAS;NA;C;82;48;46;94;96;46;142;8500000;noPoolRank;no;30;11;2012;5;54.60;3.40;1.40;2.45
noNhlRank;Bo Horvat;NYI;NA;C;81;33;35;68;66;35;101;8500000;noPoolRank;no;29;9;2013;6;52.80;5.60;0.85;2.05
noNhlRank;Mikhail Sergachev;UTA;NA;D;34;2;17;19;6;34;40;8500000;noPoolRank;no;26;9;2016;6;50.20;0.80;0.10;0.92
noNhlRank;Mark Scheifele;WPG;NA;C;74;25;47;72;50;47;97;8500000;noPoolRank;no;31;7;2011;6;48.20;-6.60;0.66;2.12
noNhlRank;Roope Hintz;DAL;NA;C;80;30;35;65;60;35;95;8450000;noPoolRank;no;27;49;2015;6;58.89;5.30;0.84;2.10
noNhlRank;Miro Heiskanen;DAL;NA;D;71;9;45;54;27;90;117;8450000;noPoolRank;no;25;3;2017;4;58.00;4.09;0.26;1.19
noNhlRank;Owen Power;BUF;NA;D;76;6;27;33;18;54;72;8350000;noPoolRank;no;21;1;2021;6;48.70;-0.20;0.26;0.99
noNhlRank;Tim Stutzle;OTT;NA;L;75;18;52;70;36;52;88;8350000;noPoolRank;no;22;3;2020;6;50.40;1.10;0.61;2.19
noNhlRank;Brady Tkachuk;OTT;NA;L;81;37;37;74;74;37;111;8205714;noPoolRank;no;25;4;2018;3;55.30;8.80;1.17;2.40
noNhlRank;Tomas Hertl;VGK;NA;C;54;17;21;38;34;21;55;8137500;noPoolRank;no;30;17;2012;5;88.71;4.88;0.16;0.32
noNhlRank;Jordan Kyrou;STL;NA;C;82;31;36;67;62;36;98;8125000;noPoolRank;no;26;35;2016;6;49.80;8.50;1.14;2.22
noNhlRank;Robert Thomas;STL;NA;C;82;26;60;86;52;60;112;8125000;noPoolRank;no;25;20;2017;6;48.10;6.20;0.71;2.22
noNhlRank;Lucas Raymond;DET;NA;R;82;31;41;72;62;41;103;8075000;noPoolRank;no;22;4;2020;7;49.10;3.80;0.90;2.29
